nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgatt;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
8752801;1145206;87528;Stoli;Blueberi;249.00;;700.00;355.71;12/10/2016;0;Smaksatt sprit;;;Flaska;;;Internationellt märke;SPI Spirits Limited;Prime Wine Sweden AB;;;37.50%;BS;Övrigt sortiment;0;0;;0;
7559301;1145209;75593;Revelation;Pinot Noir;102.00;;750.00;136.00;12/10/2016;0;Rött vin;;;Flaska;;Languedoc-Roussillon;Frankrike;Badet Clement & Cie;Spirit of Ward AB;2015;;12.50%;BS;Övrigt sortiment;0;0;;0;
8775901;1145216;87759;Stoli;Hot;249.00;;700.00;355.71;12/10/2016;0;Smaksatt sprit;;;Flaska;;;Internationellt märke;SPI Spirits Limited;Prime Wine Sweden AB;;;37.50%;BS;Övrigt sortiment;0;0;;0;
8734301;1145219;87343;Stoli;Ohranj;249.00;;700.00;355.71;12/10/2016;0;Smaksatt sprit;;;Flaska;;;Internationellt märke;SPI Spirits Limited;Prime Wine Sweden AB;;;37.50%;BS;Övrigt sortiment;0;0;;0;
8781701;1145222;87817;Stoli;Salted Karamel;249.00;;700.00;355.71;12/10/2016;0;Smaksatt sprit;;;Flaska;;;Internationellt märke;SPI Spirits Limited;Prime Wine Sweden AB;;;37.50%;BS;Övrigt sortiment;0;0;;0;
7479101;1145235;74791;Domaine;Caroline Bonnefoy;177.00;;750.00;236.00;12/10/2016;0;Rött vin;;;Flaska;;Rhonedalen;Frankrike;Caroline Bonnefoy;Wine Brothers & Co;2012;;13.50%;BS;Övrigt sortiment;0;0;;0;
8258501;1145260;82585;Delamain;Vesper XO;1255.00;;700.00;1792.86;12/10/2016;0;Cognac;;;Flaska;;Cognac;Frankrike;Delamain;Johan Lidby Vinhandel AB;;;40.00%;BS;Övrigt sortiment;0;0;;0;
3136503;1145266;31365;Skog Saison;Lidbhy Gård;39.50;;330.00;119.70;01/12/2016;0;Öl;Ale belgisk stil;Saison;Flaska;;Stockholms län;Sverige;Lidbhy Gård AB;Lidbhy Gård AB;;;7.20%;TSLS;Lokalt och småskaligt;0;0;;0;Korn- och vetemalt, björksav, humle, granskott och enbär.
7462101;1145504;74621;Nederburg;The Winemasters Riesling;92.00;;750.00;122.67;12/10/2016;0;Vitt vin;;;Flaska;;Western Cape;Sydafrika;Nederburg Wines;Bibendum;2015;;13.50%;BS;Övrigt sortiment;0;0;;0;
3136603;1145610;31366;Sabaton The Last Beer;;24.90;;330.00;75.46;01/12/2016;0;Öl;Ljus lager;Pilsner - tysk stil;Flaska;;Södermanlands län;Sverige;Eskilstuna Ölkultur;Eskilstuna Ölkultur AB;;;5.00%;TSLS;Lokalt och småskaligt;0;0;;0;Kornmalt och humle.
7947902;1145660;79479;Castello di Brolio;Vin Santo;299.00;;500.00;598.00;12/10/2016;0;Vitt vin;Sött;;Flaska;;Toscana;Italien;Barone Ricasoli;WineWorld AB;2009;;15.50%;BS;Övrigt sortiment;0;0;;0;
7076601;1145670;70766;Domaine Champeau;Pouilly Fumé;190.00;;750.00;253.33;21/10/2016;0;Vitt vin;;;Flaska;;Loiredalen;Frankrike;Domaine Champeau;Boucarou Wine & Dine AB;2016;;12.50%;BS;Övrigt sortiment;0;0;;0;
7285901;1145687;72859;Charbonniere;Chateuneuf du Pape Brusquières;587.00;;750.00;782.67;21/10/2016;0;Rött vin;;;Flaska;;Rhonedalen;Frankrike;Domaine de la Charbonnière;Fullersta Vineyards Handelsbolag;2009;;15.50%;BS;Övrigt sortiment;0;0;;0;
